doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
1,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
2,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.7000,0.0333
3,0.8714,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143
4,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
5,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
6,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
7,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
8,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
9,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
10,0.0333,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333
11,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
12,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
13,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200
14,0.0167,0.0167,0.0167,0.8500,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
15,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.8875
16,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.5499,0.0500
17,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
18,0.0083,0.0083,0.0083,0.9250,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083
19,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000
20,0.0500,0.5499,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
21,0.0250,0.0250,0.0250,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250
22,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.5500
23,0.0500,0.0500,0.0500,0.5500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
24,0.0250,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250
25,0.0083,0.0083,0.0083,0.9250,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083
26,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.5500,0.0500
27,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200,0.0200
28,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.9100,0.0100,0.0100,0.0100
29,0.0333,0.0333,0.0333,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333,0.0333
30,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
31,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250
32,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250
33,0.0500,0.0500,0.0500,0.5500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
34,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.5499,0.0500,0.0500,0.0500
35,0.0333,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333
36,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.7750
37,0.8714,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143
38,0.0500,0.0500,0.0500,0.5500,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500
