doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200
1,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333
2,0.0143,0.0143,0.8714,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143
3,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
4,0.0167,0.0167,0.8500,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
5,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333
6,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250
7,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200
8,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200
9,0.0167,0.0167,0.8500,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
10,0.3355,0.0200,0.5045,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
11,0.7000,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333
12,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
13,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250
14,0.8200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
15,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200
16,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
17,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.8500,0.0167,0.0167,0.0167
18,0.0200,0.8200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
19,0.0125,0.0125,0.8875,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
20,0.0125,0.0125,0.8875,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
21,0.0333,0.0333,0.0333,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333,0.0333
22,0.0111,0.0111,0.0111,0.0111,0.9000,0.0111,0.0111,0.0111,0.0111,0.0111
23,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200,0.0200,0.0200
24,0.0167,0.0167,0.8500,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
25,0.0111,0.0111,0.0111,0.0111,0.9000,0.0111,0.0111,0.0111,0.0111,0.0111
26,0.8500,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
27,0.0125,0.0125,0.8875,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
28,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250
29,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250
30,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200
31,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.8500,0.0167,0.0167,0.0167
32,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.8500
33,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250
34,0.0250,0.0250,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250,0.0250
35,0.0091,0.0091,0.0091,0.0091,0.9182,0.0091,0.0091,0.0091,0.0091,0.0091
36,0.0091,0.0091,0.0091,0.0091,0.9182,0.0091,0.0091,0.0091,0.0091,0.0091
37,0.0333,0.0333,0.0333,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333,0.0333
38,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333
39,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200
40,0.0167,0.0167,0.8500,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
41,0.0125,0.0125,0.8875,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
42,0.0500,0.0500,0.0500,0.0500,0.0500,0.0500,0.5500,0.0500,0.0500,0.0500
43,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200
44,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333
45,0.0200,0.0200,0.4809,0.0200,0.0200,0.0200,0.3591,0.0200,0.0200,0.0200
46,0.0250,0.7750,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250
47,0.0143,0.0143,0.8714,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143
48,0.0200,0.0200,0.8200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
49,0.0333,0.0333,0.7000,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333
50,0.0250,0.0250,0.0250,0.0250,0.0250,0.0250,0.7750,0.0250,0.0250,0.0250
51,0.0167,0.0167,0.8500,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
