doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7267,0.0000,0.0000
1,0.0000,0.3398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0204,0.0000,0.0000,0.0095,0.0000,0.3125,0.0000,0.0000,0.0138,0.0000
3,0.2548,0.0000,0.0000,0.0000,0.0000,0.0233,0.1697,0.0672,0.0000,0.0000
4,0.0675,0.0000,0.0000,0.0178,0.0000,0.2743,0.0000,0.0000,0.0443,0.0000
5,0.0000,0.1519,0.3839,0.0000,0.0000,0.0000,0.0000,0.0445,0.0220,0.0007
6,0.4396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,0.0005,0.0000,0.0000,0.0000,0.0000,0.0027,0.0854,0.6291,0.0000,0.0000
8,0.0000,0.0000,0.0461,0.0000,0.0000,0.0005,0.2716,0.0593,0.0000,0.2877
9,0.0675,0.0000,0.0000,0.0178,0.0000,0.2743,0.0000,0.0000,0.0443,0.0000
10,0.2166,0.0000,0.4001,0.0000,0.0000,0.0194,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.3978,0.0000,0.0000,0.0000,0.1252,0.0000,0.0000,0.0000
12,0.1109,0.0000,0.0000,0.0000,0.0000,0.2665,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.1283,0.0000,0.0000,0.0000,0.1469,0.1752,0.1449,0.0000,0.0223
14,0.0000,0.0629,0.4549,0.0000,0.0000,0.0000,0.0000,0.0230,0.0111,0.0000
15,0.0000,0.0821,0.2555,0.0000,0.0000,0.0000,0.0000,0.0130,0.0014,0.2804
16,0.3730,0.0198,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0054,0.0000,0.0000,0.0000,0.0000,0.3235,0.1719,0.2911
18,0.0000,0.0000,0.0000,0.5461,0.0000,0.0292,0.0000,0.0000,0.0414,0.0000
19,0.1684,0.0000,0.0000,0.1223,0.0641,0.0000,0.0739,0.0000,0.0000,0.1488
20,0.0000,0.0000,0.0000,0.0052,0.0000,0.3085,0.0000,0.0000,0.0040,0.0000
21,0.0000,0.0000,0.0000,0.0000,0.4819,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8252,0.0000
23,0.0000,0.1865,0.0000,0.0645,0.0000,0.0000,0.1296,0.0000,0.0000,0.0000
24,0.0000,0.0956,0.0000,0.0141,0.0000,0.2380,0.0000,0.0134,0.0594,0.0116
25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8252,0.0000
26,0.0000,0.0000,0.4441,0.0000,0.0000,0.0000,0.1303,0.0000,0.0000,0.0000
27,0.0345,0.0000,0.0000,0.0057,0.0000,0.2737,0.0991,0.0379,0.0125,0.0000
28,0.0000,0.0000,0.0000,0.5498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,0.0000,0.0364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7192
30,0.0000,0.1752,0.0312,0.0000,0.0000,0.0000,0.0733,0.0000,0.0000,0.0273
31,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8665
32,0.0003,0.0190,0.0000,0.0076,0.4788,0.0000,0.0000,0.0000,0.0000,0.0000
33,0.4396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,0.0000,0.2053,0.0000,0.0000,0.0000,0.0000,0.1541,0.0000,0.0000,0.0000
35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6823,0.0000,0.0000,0.0000
36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6823,0.0000,0.0000,0.0000
37,0.0000,0.0000,0.0000,0.0000,0.4819,0.0000,0.0000,0.0000,0.0000,0.0000
38,0.4186,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,0.0000,0.0000
39,0.0027,0.1400,0.0000,0.0226,0.2085,0.0000,0.0000,0.0055,0.0008,0.0098
40,0.0595,0.0000,0.0000,0.0000,0.0000,0.2659,0.0000,0.0000,0.0000,0.0000
41,0.0057,0.0000,0.0000,0.4130,0.0513,0.0163,0.0654,0.0000,0.0295,0.0197
42,0.0000,0.3329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0966,0.0460,0.0635
43,0.0326,0.1813,0.0000,0.0000,0.0683,0.0000,0.0000,0.0000,0.0000,0.0000
44,0.0000,0.3398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,0.0356,0.1582,0.0166,0.0000,0.0000,0.1649,0.1082,0.0091,0.0000,0.0041
46,0.0000,0.0145,0.0000,0.4716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,0.0235,0.0000,0.0000,0.0095,0.0000,0.3044,0.0000,0.0000,0.0250,0.0000
48,0.1255,0.0000,0.0000,0.0000,0.0000,0.2115,0.0000,0.0000,0.0000,0.0000
49,0.4186,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,0.0000,0.0000
50,0.0000,0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.6535,0.0000,0.0000
51,0.1519,0.0000,0.0000,0.0000,0.0000,0.1475,0.0241,0.0000,0.0000,0.0000
